Metric,Value
Total Requests,205
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,140.2439
Avg BW per Deployment,74.3366
Avg MEM per Deployment,99.9756
""
Avg CPU Utilization,51.01%
Avg BW Utilization,7.59%
Avg MEM Utilization,49.52%
Std CPU Utilization,0.3317
Std BW Utilization,0.0180
Std MEM Utilization,0.3732
""
Avg Hops per Destination,2.47
Avg Deployment Time (s),0.4309
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,294
  smart_greedy,154
